,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,new_addition,trending,labels
49,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2025-12-28 10:09:20,2025-12-22 19:48:48,311.0,139.0,866.0,862.0,,,,,,100.0,This repository is for the active development of the Azure SDK for Rust. For consumers of the SDK we recommend..,1279.0,1279.0,187.0,20,True,1.0,,,,['binding']
50,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,Apache-2.0,2018-04-20 18:38:06,2025-07-24 01:24:47,2025-07-24 01:23:41,35.0,12.0,29.0,661.0,1821.0,2025-07-24 03:35:27,0.40.0,,,25.0,Rust numeric library with high performance and friendly syntax.,256.0,256.0,25.0,20,True,1.0,,,-2.0,
51,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2025-12-22 22:23:20,2025-11-24 22:33:30,49.0,46.0,112.0,570.0,1201.0,,,,,,sparse linear algebra library for rust.,1876.0,1876.0,37.0,20,True,1.0,sparsemat/sprs,,,
52,quickwit,quickwit-inc/quickwit,apps,https://github.com/quickwit-oss/quickwit,https://github.com/quickwit-oss/quickwit,Apache-2.0,2021-04-13 22:45:40,2025-12-31 19:34:53,2025-12-31 18:24:01,498.0,648.0,1791.0,10700.0,,2024-06-17 17:20:56,0.8.2,22192.0,410.0,25.0,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",,,105.0,19,True,2.0,quickwit-oss/quickwit,,,
53,bloop,BloopAI/bloop,apps,https://github.com/BloopAI/bloop,https://github.com/BloopAI/bloop,Apache-2.0,2022-12-10 14:04:30,2024-12-04 17:39:21,2024-12-04 17:39:21,595.0,43.0,101.0,9501.0,,2024-04-23 16:43:29,0.6.5,56676.0,1531.0,48.0,bloop is a fast code search engine written in Rust.,,,30.0,19,False,2.0,,,,
54,llama-rs,rustformers/llama-rs,nlp,https://github.com/rustformers/llm,https://github.com/rustformers/llm,Apache-2.0,2023-03-13 16:59:26,2024-06-24 16:29:01,2024-06-24 16:28:50,356.0,81.0,150.0,6144.0,,2023-05-08 19:23:10,0.1.1,1394.0,43.0,1.0,"[Unmaintained, see README] An ecosystem of Rust libraries for working with large language models.",328.0,328.0,53.0,19,False,2.0,rustformers/llm,,,
55,shimmy,Michael-A-Kuykendall/shimmy,ml-frameworks,https://github.com/Michael-A-Kuykendall/shimmy,https://github.com/Michael-A-Kuykendall/shimmy,MIT,2025-08-28 22:55:46,2025-12-19 16:24:07,2025-12-17 11:05:28,261.0,17.0,93.0,3521.0,,2025-12-09 17:52:00,1.8.2,7754.0,1938.0,28.0,"Python-free Rust inference server OpenAI-API compatible. GGUF + SafeTensors, hot model swap, auto-discovery, single..",6.0,6.0,3.0,19,True,2.0,,True,,
56,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,Apache-2.0,2018-07-22 10:09:33,2025-11-07 04:06:43,2025-10-02 14:57:24,110.0,51.0,109.0,1208.0,,2025-10-02 14:36:21,argmin-math-v0.5.1,,,39.0,Numerical optimization in pure Rust.,826.0,826.0,47.0,19,True,2.0,,,,
57,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2025-12-29 21:28:52,2025-12-29 21:28:46,167.0,76.0,181.0,914.0,,,,,,,Image processing operations.,7468.0,7468.0,85.0,19,True,2.0,,,,
58,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2025-12-05 08:49:08,2025-12-05 08:49:07,87.0,51.0,83.0,871.0,,2025-11-29 02:56:12,0.4.8,,,9.0,A comprehensive library for machine learning and numerical computing. Apply Machine Learning with Rust leveraging..,374.0,374.0,32.0,19,True,2.0,,,,
59,swiftide,bosun-ai/swiftide,mlops,https://github.com/bosun-ai/swiftide,https://github.com/bosun-ai/swiftide,MIT,2024-06-09 20:07:06,2025-12-31 06:19:54,2025-12-30 11:09:30,52.0,16.0,59.0,630.0,831.0,2025-11-15 14:02:23,0.32.1,,,94.0,"Fast, streaming indexing, query, and agentic LLM applications in Rust.",37.0,37.0,21.0,19,True,2.0,,True,,
60,Raphtory,Pometry/Raphtory,graph,https://github.com/Pometry/Raphtory,https://github.com/Pometry/Raphtory,GPL-3.0,2017-05-30 13:15:18,2025-12-22 17:22:33,2025-12-19 13:39:26,64.0,183.0,547.0,556.0,1754.0,2025-12-12 14:16:15,0.16.4,590.0,9.0,52.0,"Scalable graph analytics database powered by a multithreaded, vectorized temporal engine, written in Rust.",24.0,24.0,37.0,19,True,2.0,,,,
61,TensorZero,tensorzero/tensorzero,mlops,https://github.com/tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,Apache-2.0,2024-07-16 21:00:53,2025-12-31 23:20:21,2025-12-31 21:53:34,739.0,258.0,1356.0,10749.0,,2025-12-26 19:04:00,2025.12.6,,,100.0,"TensorZero is an open-source stack for industrial-grade LLM applications. It unifies an LLM gateway, observability,..",,,103.0,18,True,3.0,,,5.0,
