,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id
49,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,2016-04-25 11:22:18,2021-03-09 19:49:09,2021-03-09 19:49:09,29.0,1.0,27.0,93.0,131.0,Dynamically get the suggested clusters in the data for unsupervised learning.,18.0,18.0,4.0,12,False,2,-1.0,2020-04-20 04:05:53,2.0.1,290.0,7.0,13.0,,
50,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs,https://github.com/sreeise/graph-rs,MIT,2018-12-18 13:17:11,2021-06-07 09:18:20,2021-05-13 07:55:33,6.0,34.0,157.0,20.0,519.0,Graph API client writen in Rust.,,,2.0,12,False,3,,2021-01-19 08:16:15,0.0.2,,,2.0,,
51,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,2018-07-22 10:09:33,2021-06-07 07:52:15,2021-06-03 09:55:06,29.0,11.0,26.0,287.0,797.0,Mathematical optimization in pure Rust.,,,15.0,11,False,2,,,,,,,,
52,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-05-26 07:23:00,2021-05-26 07:20:11,12.0,7.0,14.0,218.0,1192.0,"Rust numeric library with R, MATLAB & Python syntax.",,,9.0,11,False,2,,,,,,,,
53,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,27.0,2.0,7.0,191.0,97.0,Natural Language Processing for Rust.,,,14.0,11,False,2,,,,,,,,
54,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,47.0,28.0,26.0,112.0,1053.0,Ontology for rustling.,,,19.0,11,False,2,,2020-01-23 14:58:51,0.19.3,,,49.0,,
55,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-01-16 05:55:48,2021-01-16 05:55:46,12.0,5.0,25.0,105.0,142.0,A morphological analysis library.,,,6.0,11,True,2,,2020-10-15 11:11:47,0.7.1,,,16.0,,
56,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,11.0,19.0,15.0,100.0,545.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",,,4.0,11,True,2,,,,,,7.0,,
57,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,2017-04-10 08:50:12,2019-09-11 16:13:12,2019-09-11 16:12:55,23.0,,2.0,63.0,193.0,Rust implementation of Duckling.,,,6.0,11,False,2,,2019-09-11 16:13:12,0.9.1,,,12.0,['binding'],
58,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-06-07 04:49:45,2021-05-14 09:44:38,4.0,2.0,28.0,60.0,283.0,Context-sensitive word embeddings with subwords. In Rust.,,,6.0,11,False,2,,2020-07-27 09:03:36,0.9.4,31.0,0.0,12.0,,
