,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
80,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/wtpsplit,https://github.com/bminixhofer/wtpsplit,bminixhofer/wtpsplit,MIT,2020-01-31 10:34:17,2024-05-25 06:00:18,2024-03-08 16:32:19,33.0,6.0,50.0,508.0,,2024-01-22 15:30:25,1.3.0,,,21.0,Code for Where's the Point? Self-Supervised Multilingual Punctuation-Agnostic Sentence Segmentation.,6.0,16,True,2.0,26.0,26.0,,,
81,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,,MIT,2019-12-06 09:12:47,2023-11-01 10:17:37,2021-05-19 16:09:39,26.0,8.0,9.0,312.0,203.0,2021-06-06 12:58:39,0.5.2,,,3.0,Graph-based Approximate Nearest Neighbor Search.,6.0,16,False,2.0,16.0,16.0,,,
82,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,https://github.com/mrhooray/kdtree-rs,https://github.com/mrhooray/kdtree-rs,,Apache-2.0,2015-07-29 05:20:17,2024-05-21 12:00:40,2024-02-02 20:44:48,43.0,1.0,18.0,217.0,96.0,,,,,,K-dimensional tree in Rust for fast geospatial indexing and lookup.,16.0,16,True,2.0,617.0,617.0,,,
83,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,Unlicense,2016-04-25 11:22:18,2023-07-31 04:21:34,2023-07-31 04:15:48,47.0,5.0,33.0,214.0,135.0,2023-07-31 04:21:35,2.0.3,445.0,6.0,15.0,Dynamically get the suggested clusters in the data for unsupervised learning.,6.0,16,True,2.0,57.0,57.0,,,
84,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,,MIT,2019-03-14 12:52:32,2023-01-14 18:45:42,2021-11-09 12:03:42,14.0,7.0,23.0,194.0,172.0,2021-11-09 12:06:19,0.6.3,,,19.0,Simple but powerful graph library for Rust.,12.0,16,False,3.0,45.0,45.0,,,
85,text-splitter,benbrandt/text-splitter,nlp,https://github.com/benbrandt/text-splitter,https://github.com/benbrandt/text-splitter,,MIT,2023-04-07 11:54:39,2024-05-31 11:55:17,2024-05-31 11:55:16,10.0,6.0,13.0,159.0,,2024-05-07 20:59:18,0.13.1,,,43.0,"Split text into semantic chunks, up to a desired chunk size. Supports calculating length by characters and tokens, and..",6.0,16,True,2.0,80.0,80.0,,,
86,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,,Apache-2.0,2016-02-05 00:32:17,2023-12-03 02:53:33,2023-12-03 01:03:41,417.0,59.0,127.0,5044.0,883.0,,,,,,Rust language bindings for TensorFlow.,48.0,15,True,2.0,,,,['binding'],
87,bayard,bayard-search/bayard,apps,https://github.com/mosuka/bayard,https://github.com/mosuka/bayard,mosuka/bayard,MIT,2019-11-01 09:54:55,2023-03-06 15:17:06,2022-10-11 12:50:46,69.0,7.0,40.0,1849.0,,2022-08-03 06:37:23,0.9.0,21.0,0.0,18.0,A full-text search and indexing server written in Rust.,13.0,15,False,3.0,18.0,18.0,,,
88,dfdx,coreylowman/dfdx,ml-frameworks,https://github.com/coreylowman/dfdx,https://github.com/coreylowman/dfdx,,,2021-10-12 02:58:54,2024-03-02 18:51:07,2024-01-25 19:46:50,98.0,64.0,389.0,1647.0,,2023-07-27 13:15:10,0.13.0,,,8.0,"Deep learning in Rust, with shape checked tensors and neural networks.",39.0,15,False,2.0,84.0,84.0,,,
89,luminal,jafioti/luminal,ml-frameworks,https://github.com/jafioti/luminal,https://github.com/jafioti/luminal,,Apache-2.0,2023-07-18 22:02:51,2024-05-31 18:55:17,2024-05-31 18:55:14,81.0,24.0,17.0,1355.0,,2024-03-01 23:10:25,0.2,,,2.0,Deep learning at the speed of light.,8.0,15,True,2.0,3.0,3.0,,,True
