,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
171,bayespam,zenoxygen/bayespam,ml-frameworks,https://github.com/zenoxygen/bayespam,https://github.com/zenoxygen/bayespam,,MIT,2019-10-27 05:53:16,2020-12-24 00:31:37,2020-12-24 00:31:24,2.0,,1.0,9.0,45.0,,,,,,A simple bayesian spam classifier written in Rust.,8.0,8.0,2.0,7,False,3.0,,,
172,hwt,rust-cv/hwt,ml-frameworks,https://github.com/rust-cv/hwt,https://github.com/rust-cv/hwt,,MIT,2019-02-20 23:09:30,2019-05-03 19:19:07,2019-05-03 19:18:47,1.0,5.0,5.0,7.0,147.0,,,,,,Hamming Weight Tree from the paper Online Nearest Neighbor Search in Hamming Space.,,,,7,False,3.0,,,
173,NewsAggregator,EngineersBox/NewsAggregator,data-loading,https://github.com/EngineersBox/NewsAggregator,https://github.com/EngineersBox/NewsAggregator,,Apache-2.0,2021-02-28 09:18:55,2021-10-24 00:36:43,2021-10-12 14:36:32,5.0,,,5.0,,,,,,,"A fast, searchable, knowledge engine using various machine learning models to aggregate based on importance,..",,,10.0,7,False,3.0,,,
174,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,,,2019-10-08 07:11:10,2022-08-21 07:03:58,2022-08-21 07:03:54,,,,3.0,43.0,2020-10-08 08:49:03,0.3.0,21.0,0.0,1.0,Rust wrapper for the Alpino tokenizer.,3.0,3.0,,7,False,3.0,,,
175,seqalign,danieldk/seqalign,nlp,https://github.com/danieldk/seqalign,https://github.com/danieldk/seqalign,,Apache-2.0,2018-03-06 14:46:35,2022-08-22 18:48:47,2022-08-22 18:48:40,,2.0,1.0,1.0,46.0,,,,,,Sequence alignments.,16.0,16.0,2.0,7,False,3.0,,,
176,REnforce,NivenT/REnforce,ml-frameworks,https://github.com/NivenT/REnforce,https://github.com/NivenT/REnforce,,,2016-09-27 06:29:15,2017-08-03 08:09:34,2017-08-03 08:09:34,3.0,5.0,,20.0,114.0,,,,,,Reinforcement learning library written in Rust.,,,,6,False,3.0,,,
177,image-ssd,mermoldy/image-ssd,image,https://github.com/mermoldy/image-ssd,https://github.com/mermoldy/image-ssd,,MIT,2020-08-30 21:11:13,2020-10-24 17:17:43,2020-10-24 17:17:20,,,,3.0,12.0,,,,,,A Rust library for object detection via SSD MobileNet.,,,,6,False,3.0,,,
178,rust-hf-hub-loader,philschmid/rust-hf-hub-loader,ml-frameworks,https://github.com/philschmid/rust-hf-hub-loader,https://github.com/philschmid/rust-hf-hub-loader,,Apache-2.0,2021-07-15 12:43:09,2021-09-10 19:33:42,2021-09-10 19:23:15,,,,3.0,,2021-09-10 19:33:42,0.2,275.0,14.0,2.0,,,,,6,False,3.0,,,
179,blingfire-rs,reinfer/blingfire-rs,nlp,https://github.com/reinfer/blingfire-rs,https://github.com/reinfer/blingfire-rs,,MIT,2019-07-06 13:50:14,2020-06-23 16:31:02,2020-06-23 16:30:54,1.0,,1.0,15.0,19.0,,,,,,Rust wrapper for the BlingFire tokenization library.,,,2.0,5,False,3.0,,,
180,propagon,Refefer/propagon,graph,https://github.com/Refefer/propagon,https://github.com/Refefer/propagon,,,2019-04-06 18:02:18,2022-09-21 13:41:11,2022-09-21 13:41:05,,2.0,1.0,5.0,146.0,,,,,,"Fast, large scale library for computing rankings and features based on various pairwise and graph algorithms.",,,,5,False,3.0,,,
181,wordpieces,danieldk/wordpieces,nlp,https://github.com/danieldk/wordpieces,https://github.com/danieldk/wordpieces,,,2019-11-22 10:36:17,2022-10-10 14:57:20,2022-10-10 14:56:52,,,,3.0,36.0,,,,,,Split tokens into word pieces.,9.0,9.0,2.0,5,False,3.0,,,
182,misspeller,andrew-johnson-4/misspeller,nlp,https://github.com/andrew-johnson-4/misspeller,https://github.com/andrew-johnson-4/misspeller,,Apache-2.0,2020-08-04 22:25:41,2020-12-27 22:57:27,2020-12-27 22:57:26,1.0,,,2.0,27.0,,,,,,Take correctly spelled words and return common spelling mistakes.,,,2.0,5,False,3.0,,,
183,rustberta-snli,allenai/rustberta-snli,nlp,https://github.com/allenai/rustberta-snli,https://github.com/allenai/rustberta-snli,,,2020-10-09 22:53:16,2021-09-13 08:05:10,2021-01-05 17:19:37,1.0,,,11.0,46.0,,,,,,A Rust implementation of a RoBERTa classification model for the SNLI dataset.,,,2.0,4,False,3.0,,,
184,ohnomore,danieldk/ohnomore,nlp,https://github.com/danieldk/ohnomore,https://github.com/danieldk/ohnomore,,,2017-12-08 13:25:51,2022-05-15 06:59:00,2022-05-15 06:57:22,,3.0,,,103.0,,,,,,Explorations in lemmatization.,,,3.0,4,False,3.0,,,
185,aleph-alpha-tokenizer,Aleph-Alpha/aleph-alpha-tokenizer,nlp,,{},,,,,,,,,,,,,,,,,,,,0,False,,,,
