,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
66,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,2018-01-27 21:50:14,2021-04-08 17:58:30,2021-04-08 17:56:20,7.0,6.0,3.0,37.0,142.0,2020-09-21 21:26:10,0.9.0,,,8.0,Rust language bindings for Faiss.,5.0,10,False,3,,,['binding'],,True
67,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,MPL-2.0,2017-03-05 09:40:12,2021-03-27 09:39:28,2021-03-27 09:34:51,5.0,1.0,1.0,27.0,33.0,,,,,,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",3.0,10,False,3,,,,,True
68,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,GPL-3.0,2020-02-12 12:28:13,2021-04-11 13:38:21,2021-04-11 13:29:58,1.0,4.0,3.0,13.0,127.0,2021-04-11 13:32:18,0.2.1,,,2.0,An NLP-suite powered by deep learning.,,10,False,2,,,,3.0,
69,rustdef,emakryo/rustdef,ml-frameworks,https://github.com/emakryo/rustdef,https://github.com/emakryo/rustdef,MIT,2020-01-26 04:08:22,2021-04-12 05:23:50,2021-03-16 02:00:59,,4.0,1.0,10.0,49.0,2021-01-03 12:09:22,0.2.0,,,4.0,Jupyter extension for rust.,2.0,10,False,3,,,,,True
70,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-03-06 00:26:24,2021-03-05 23:02:11,14.0,21.0,16.0,120.0,,,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,13.0,9,False,3,,,,,
71,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,Apache-2.0,2018-11-05 09:02:15,2020-07-22 19:19:12,2020-06-18 21:00:31,10.0,11.0,7.0,109.0,143.0,,,,,,Simple NLP in Rust with Python bindings.,3.0,9,False,3,,,,,
72,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,3.0,,1.0,53.0,194.0,,,,,,Awesome deep learning crate.,2.0,9,False,3,,,,,
73,tractjs,bminixhofer/tractjs,ml-frameworks,https://github.com/bminixhofer/tractjs,https://github.com/bminixhofer/tractjs,,2020-05-24 07:46:54,2021-04-01 01:33:44,2021-02-27 08:44:11,6.0,3.0,10.0,50.0,,2021-02-27 08:43:51,0.3.4,8.0,0.0,10.0,Run ONNX and TensorFlow inference in the browser.,2.0,9,False,3,,,,,
74,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,46.0,332.0,2015-10-07 20:05:27,0.0.5,,,4.0,Machine learning in Rust.,2.0,9,False,3,,,,,
75,dpar,danieldk/dpar,nlp,https://github.com/danieldk/dpar,https://github.com/danieldk/dpar,Apache-2.0,2015-03-18 10:17:41,2020-09-14 12:16:26,2020-09-14 12:16:07,3.0,5.0,6.0,39.0,58.0,,,,,,Neural network transition-based dependency parser (in Rust).,3.0,9,False,3,,,,,
76,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,28.0,299.0,,,,,,Visual Odometry in Rust (vors).,,9,False,3,,,,,
77,sticker,stickeritis/sticker,nlp,https://github.com/stickeritis/sticker,https://github.com/stickeritis/sticker,,2019-02-15 09:35:54,2021-03-19 10:08:03,2021-03-19 10:08:00,2.0,15.0,37.0,27.0,206.0,2020-06-10 12:27:31,0.11.1,66.0,2.0,17.0,Succeeded by SyntaxDot: https://github.com/tensordot/syntaxdot.,4.0,9,False,3,,,,,
78,visionmagic,visioncortex/visionmagic,image,https://github.com/visioncortex/visionmagic,https://github.com/visioncortex/visionmagic,,2020-12-16 15:07:32,2021-02-07 06:22:52,2021-02-07 06:22:52,2.0,,,25.0,26.0,2020-12-18 17:16:23,0.1.2,,,3.0,Collection of vision & graphics algorithms.,,9,False,3,,,,,
79,chr,pemistahl/chr,nlp,https://github.com/pemistahl/chr,https://github.com/pemistahl/chr,Apache-2.0,2020-06-22 07:50:18,2021-01-14 10:14:41,2021-01-05 20:35:25,,1.0,,20.0,35.0,2021-01-05 20:46:19,1.0.0,9.0,3.0,1.0,A command-line tool that gives information about Unicode characters.,,9,False,3,,,,,
80,gazetteer-entity-parser,snipsco/gazetteer-entity-parser,nlp,https://github.com/snipsco/gazetteer-entity-parser,https://github.com/snipsco/gazetteer-entity-parser,,2018-06-12 07:13:37,2019-12-06 14:10:32,2019-12-06 14:10:28,16.0,1.0,1.0,14.0,231.0,2019-08-27 13:51:07,0.8.0,,,8.0,Rust library for parsing and resolving entity values based on a gazetteer.,8.0,9,False,3,,,,,
81,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,MIT,2019-11-06 17:35:02,2021-04-01 08:17:28,2021-04-01 08:16:12,4.0,,1.0,13.0,159.0,,,,,,A Rust crate that reads and writes tfrecord files.,2.0,9,False,3,,,,,
82,snips-nlu-parsers,snipsco/snips-nlu-parsers,nlp,https://github.com/snipsco/snips-nlu-parsers,https://github.com/snipsco/snips-nlu-parsers,,2019-01-22 12:45:41,2020-01-24 10:14:32,2020-01-24 10:13:48,32.0,2.0,2.0,11.0,102.0,2020-01-24 10:14:32,0.4.3,196.0,7.0,13.0,Rust crate for entity parsing.,5.0,9,False,3,,,,,
83,sentencepiece,danieldk/sentencepiece,nlp,https://github.com/danieldk/sentencepiece,https://github.com/danieldk/sentencepiece,Apache-2.0,2020-01-22 15:30:22,2021-04-07 05:00:03,2021-04-06 17:23:16,1.0,,2.0,6.0,,2021-01-25 13:33:05,0.6.0,,,2.0,Rust binding for the sentencepiece library.,2.0,9,False,3,,,,,
