,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,labels
87,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,MIT,2017-02-07 13:00:30,2021-05-14 07:08:54,2021-05-13 07:18:43,11.0,,3.0,65.0,51.0,A rust implementation of some popular snowball stemming algorithms.,,,5.0,9,False,3,,,,,,,,
88,tractjs,bminixhofer/tractjs,ml-frameworks,https://github.com/bminixhofer/tractjs,https://github.com/bminixhofer/tractjs,,2020-05-24 07:46:54,2021-08-12 13:23:43,2021-07-23 10:51:13,7.0,3.0,11.0,56.0,,Run ONNX and TensorFlow inference in the browser.,,,2.0,9,False,3,,2021-07-23 11:17:36,0.4.0,10.0,0.0,11.0,,
89,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,4.0,1.0,1.0,54.0,194.0,Awesome deep learning crate.,,,2.0,9,False,3,,,,,,,,
90,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,https://github.com/boncheolgu/tflite-rs,https://github.com/boncheolgu/tflite-rs,,2018-10-23 13:13:57,2021-08-30 06:20:01,2021-06-08 11:48:39,24.0,14.0,9.0,48.0,151.0,,,,9.0,9,False,3,,,,,,,,
91,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,46.0,332.0,Machine learning in Rust.,,,2.0,9,False,3,,2015-10-07 20:05:27,0.0.5,,,4.0,,
92,dpar,danieldk/dpar,nlp,https://github.com/danieldk/dpar,https://github.com/danieldk/dpar,Apache-2.0,2015-03-18 10:17:41,2020-09-14 12:16:26,2020-09-14 12:16:07,3.0,5.0,6.0,41.0,58.0,Neural network transition-based dependency parser (in Rust).,,,3.0,9,False,3,,,,,,,,
93,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,MPL-2.0,2017-03-05 09:40:12,2021-03-27 09:39:28,2021-03-27 09:34:51,6.0,1.0,1.0,32.0,33.0,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",,,3.0,9,False,3,,,,,,,,
94,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,29.0,299.0,Visual Odometry in Rust (vors).,,,,9,False,3,,,,,,,,
95,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,Apache-2.0,2020-04-19 14:27:46,2021-06-30 10:21:56,2020-11-23 16:05:05,4.0,,1.0,23.0,62.0,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,,,3.0,9,False,3,,,,,,,,
96,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,22.0,48.0,Rust library for Self Organising Maps (SOM).,,,5.0,9,False,3,,,,,,,,
97,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,MIT,2019-11-06 17:35:02,2021-08-09 00:41:06,2021-08-09 00:39:21,5.0,,2.0,15.0,173.0,A Rust crate that reads and writes tfrecord files.,,,2.0,9,False,3,,,,,,,,
