,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,trending,labels
91,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,,2020-11-05 17:16:06,2023-04-27 21:18:11,2023-04-27 21:18:11,48.0,8.0,15.0,434.0,95.0,2022-06-29 14:56:24,1.2.3,1840.0,61.0,8.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",,,13.0,13,False,2.0,,,
92,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,32.0,1.0,2.0,323.0,41.0,,,,,,A neural network crate.,159.0,159.0,2.0,13,False,2.0,,,
93,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,,MIT,2019-12-30 10:02:22,2023-03-05 15:27:31,2022-07-18 03:30:54,17.0,,10.0,163.0,292.0,2021-07-31 09:05:35,python/0.8.4,,,3.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,,,4.0,13,True,2.0,,,
94,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,,MIT,2017-03-29 15:18:20,2021-11-16 10:40:23,2020-06-18 11:31:52,12.0,21.0,17.0,147.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",22.0,22.0,4.0,13,False,2.0,,,
95,hnsw,rust-cv/hnsw,ml-frameworks,https://github.com/rust-cv/hnsw,https://github.com/rust-cv/hnsw,,MIT,2019-07-21 03:52:31,2023-04-14 19:47:29,2021-07-19 03:08:17,5.0,14.0,10.0,115.0,147.0,,,,,,HNSW ANN from the paper Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small..,121.0,121.0,3.0,13,False,2.0,,,
96,ungoliant,oscar-corpus/ungoliant,nlp,https://github.com/oscar-project/ungoliant,https://github.com/oscar-project/ungoliant,oscar-project/ungoliant,Apache-2.0,2021-02-15 03:19:32,2023-04-26 20:08:18,2023-04-26 20:03:06,10.0,14.0,23.0,96.0,,2023-02-24 12:20:48,2.0.0,,,6.0,The pipeline for the OSCAR corpus.,7.0,7.0,6.0,13,False,2.0,,-2.0,
97,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,https://github.com/boncheolgu/tflite-rs,https://github.com/boncheolgu/tflite-rs,,Apache-2.0,2018-10-23 13:13:57,2023-04-24 08:45:27,2022-01-31 14:20:22,34.0,18.0,10.0,93.0,152.0,,,,,,,29.0,29.0,9.0,13,False,2.0,,,
98,rustling,snipsco/rustling,nlp,https://github.com/sonos/rustling,https://github.com/sonos/rustling,sonos/rustling,,2017-04-10 08:50:12,2021-07-23 15:25:44,2019-09-11 16:12:55,22.0,,2.0,73.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,18.0,18.0,8.0,13,False,2.0,,,['binding']
99,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,,MIT,2017-08-07 00:12:06,2023-03-15 14:13:40,2023-01-04 17:01:45,6.0,,,64.0,49.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,186.0,186.0,3.0,13,False,2.0,,,
100,llama-rs,rustformers/llama-rs,nlp,https://github.com/rustformers/llama-rs,https://github.com/rustformers/llama-rs,,Apache-2.0,2023-03-13 16:59:26,2023-05-01 07:25:52,2023-05-01 02:03:30,131.0,27.0,58.0,2846.0,,,,,,,"Run LLaMA inference on CPU, with Rust.",,,23.0,12,True,2.0,True,,
101,arroyo,ArroyoSystems/arroyo,data-loading,https://github.com/ArroyoSystems/arroyo,https://github.com/ArroyoSystems/arroyo,,Apache-2.0,2023-03-31 17:41:56,2023-05-01 01:07:53,2023-04-29 21:27:09,78.0,16.0,17.0,1531.0,61.0,,,,,,Distributed stream processing engine in Rust.,,,5.0,12,True,3.0,True,,
102,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,,MIT,2017-09-05 14:42:39,2023-02-11 06:38:39,2023-02-11 06:38:32,34.0,4.0,33.0,431.0,386.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,,,15.0,12,True,3.0,,,
