,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
109,outlines-core,dottxt-ai/outlines-core,nlp,https://github.com/dottxt-ai/outlines-core,https://github.com/dottxt-ai/outlines-core,Apache-2.0,2024-08-13 20:21:41,2026-04-21 14:57:41,2026-04-21 14:57:40,65.0,43.0,72.0,295.0,,2026-01-09 15:42:57,0.2.14,,,41.0,Faster structured generation.,18.0,18.0,28.0,15,True,2.0,,,,
110,rs-natural,christophertrml/rs-natural,nlp,https://github.com/lexi-sh/rs-natural,https://github.com/lexi-sh/rs-natural,MIT,2014-07-27 22:26:18,2023-02-11 03:58:48,2020-02-13 07:12:11,30.0,2.0,7.0,235.0,97.0,,,,,,Natural Language Processing for Rust.,342.0,342.0,14.0,15,False,2.0,lexi-sh/rs-natural,,,
111,erdos,erdos-project/erdos,apps,https://github.com/erdos-project/erdos,https://github.com/erdos-project/erdos,Apache-2.0,2018-11-05 20:19:05,2022-08-27 19:25:37,2022-08-27 19:25:37,44.0,12.0,32.0,208.0,536.0,,,,,5.0,Dataflow system for building self-driving car and robotics applications.,17.0,17.0,10.0,15,False,3.0,,,,
112,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/quickwit-oss/levenshtein-automata,https://github.com/quickwit-oss/levenshtein-automata,MIT,2017-11-16 00:26:08,2023-02-28 04:00:01,2021-10-19 02:30:27,16.0,1.0,4.0,71.0,27.0,2020-03-30 00:38:52,0.2.0,,,1.0,,4392.0,4392.0,4.0,15,False,2.0,quickwit-oss/levenshtein-automata,,,
113,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,Apache-2.0,2015-10-26 08:20:56,2024-03-20 09:51:14,2018-01-14 18:40:04,264.0,26.0,24.0,5540.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,,,15.0,14,False,2.0,,,,
114,Toshi,toshi-search/Toshi,apps,https://github.com/toshi-search/Toshi,https://github.com/toshi-search/Toshi,MIT,2018-06-28 13:23:45,2026-06-28 20:36:54,2023-10-12 05:03:13,135.0,14.0,109.0,4251.0,456.0,,,,,,A full-text search engine in rust.,,,20.0,14,False,3.0,,,,
115,trieve,devflowinc/trieve,apps,https://github.com/devflowinc/trieve,https://github.com/devflowinc/trieve,MIT,2023-03-26 19:45:53,2026-01-25 23:25:46,2026-01-25 23:25:46,248.0,,1344.0,2684.0,,2025-03-07 21:55:14,trieve-helm-0.2.2,18.0,0.0,7.0,"All-in-one platform for search, recommendations, RAG, and analytics offered via API.",,,62.0,14,True,3.0,,,True,
116,hora,hora-search/hora,ml-frameworks,https://github.com/hora-search/hora,https://github.com/hora-search/hora,Apache-2.0,2021-05-15 07:46:32,2026-02-17 13:34:53,2021-10-23 16:20:43,74.0,20.0,10.0,2664.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,55.0,55.0,6.0,14,False,2.0,,,,
117,hora-hora,hora-search/hora,apps,https://github.com/hora-search/hora,https://github.com/hora-search/hora,Apache-2.0,2021-05-15 07:46:32,2026-02-17 13:34:53,2021-10-23 16:20:43,74.0,20.0,10.0,2664.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,55.0,55.0,6.0,14,False,3.0,,,,
118,aici,microsoft/aici,nlp,https://github.com/microsoft/aici,https://github.com/microsoft/aici,MIT,2023-09-26 21:33:16,2025-01-22 21:14:57,2025-01-22 21:14:56,84.0,35.0,42.0,2077.0,,2024-04-29 20:31:19,0.2.1,779.0,25.0,12.0,AICI: Prompts as (Wasm) Programs.,,,10.0,14,False,2.0,,,,
119,bayard,bayard-search/bayard,apps,https://github.com/mosuka/bayard,https://github.com/mosuka/bayard,MIT,2019-11-01 09:54:55,2023-03-06 15:17:06,2022-10-11 12:50:46,76.0,7.0,40.0,1872.0,,2022-08-03 06:37:23,0.9.0,86.0,1.0,18.0,A full-text search and indexing server written in Rust.,18.0,18.0,13.0,14,False,3.0,mosuka/bayard,,,
120,rain,substantic/rain,ml-frameworks,https://github.com/substantic/rain,https://github.com/substantic/rain,MIT,2018-02-13 17:04:46,2023-03-04 01:27:07,2018-12-16 16:29:10,53.0,11.0,21.0,759.0,738.0,2018-09-05 14:54:26,0.4.0,1007.0,10.0,10.0,Framework for large distributed pipelines.,,,10.0,14,False,2.0,,,,
121,cleora,Synerise/cleora,ml-frameworks,https://github.com/BaseModelAI/cleora,https://github.com/BaseModelAI/cleora,,2020-11-05 17:16:06,2026-04-02 15:27:59,2026-04-02 15:26:16,57.0,,25.0,540.0,236.0,2026-04-02 15:27:59,3.2.1,4110.0,60.0,11.0,"Cleora AI is a general-purpose open-source model for efficient, scalable learning of stable and inductive entity..",,,18.0,14,False,2.0,BaseModelAI/cleora,,,
122,sudachi.rs,WorksApplications/sudachi.rs,nlp,https://github.com/WorksApplications/sudachi.rs,https://github.com/WorksApplications/sudachi.rs,Apache-2.0,2019-11-23 12:04:58,2026-06-29 05:54:19,2026-06-02 23:37:50,54.0,31.0,150.0,455.0,,2026-04-13 05:17:52,0.6.11,671.0,11.0,13.0,Sudachi in Rust and new generation of SudachiPy.,,,20.0,14,True,2.0,,-5.0,,
123,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2022-12-26 20:39:00,2020-01-28 16:19:54,55.0,5.0,15.0,345.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,,,23.0,14,False,2.0,,,,
