,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
84,neuronika,neuronika/neuronika,ml-frameworks,https://github.com/neuronika/neuronika,https://github.com/neuronika/neuronika,,MPL-2.0,2021-02-13 17:04:39,2021-12-10 11:30:43,2021-11-26 16:06:23,23.0,6.0,24.0,583.0,,,,,,,Tensors and dynamic neural networks in pure Rust.,2.0,10,True,3,,,,,
85,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,31.0,1.0,2.0,306.0,41.0,,,,,,A neural network crate.,2.0,10,False,3,,,,,
86,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,20.0,12.0,26.0,286.0,119.0,,,,,,"A Rust DataFrame implementation, built on Apache Arrow.",4.0,10,False,3,,,,,
87,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,,2018-04-20 18:38:06,2021-08-15 21:48:40,2021-05-26 07:20:11,16.0,10.0,14.0,253.0,1192.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",9.0,10,False,3,,,,,
88,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,,MIT,2018-10-02 17:55:03,2021-12-13 09:46:59,2021-12-13 09:46:35,19.0,4.0,17.0,228.0,,,,,,,Rust library for regular expressions using fancy features like look-around and backreferences.,17.0,10,True,2,,,,,
89,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,194.0,78.0,,,,,,Neural networks in Rust.,2.0,10,False,3,,,,,
90,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,15.0,,1.0,139.0,164.0,2019-09-04 00:34:56,1.0,,,1.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,10,True,3,,,,,
91,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,109.0,102.0,2020-11-17 23:04:49,0.2.0,,,1.0,Orkhon: ML Inference Framework and Server Runtime.,,10,True,3,,,,,
92,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,,,2020-08-04 03:04:15,2021-11-02 09:26:32,2021-08-04 01:28:04,26.0,26.0,16.0,98.0,443.0,,,,,,Rust wrapper for Microsoft's ONNX Runtime (version 1.8).,7.0,10,False,3,,,['binding'],,
93,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,73.0,532.0,,,,,,Deep Learning in Rust with the PyTorch API.,,10,False,3,,,['binding'],,
94,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,,2018-06-02 08:47:45,2021-11-29 11:08:50,2021-11-29 11:08:47,4.0,2.0,29.0,65.0,294.0,2020-07-27 09:03:36,0.9.4,39.0,1.0,12.0,Context-sensitive word embeddings with subwords. In Rust.,6.0,10,False,2,,,,,
95,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,,2017-04-10 08:50:12,2021-07-23 15:25:44,2019-09-11 16:12:55,20.0,,2.0,65.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,6.0,10,False,2,,,['binding'],,
96,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,,MIT,2017-08-07 00:12:06,2021-12-01 19:17:22,2021-10-12 10:04:19,3.0,,,55.0,39.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,3.0,10,False,3,,,,,
97,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,,2018-01-27 21:50:14,2021-07-29 09:33:36,2021-07-23 10:33:22,9.0,6.0,15.0,52.0,214.0,2021-06-21 19:51:47,0.10.0,,,9.0,Rust language bindings for Faiss.,5.0,10,False,3,,,['binding'],,
98,ffsvm-rust,ralfbiedert/ffsvm-rust,ml-frameworks,https://github.com/ralfbiedert/ffsvm-rust,https://github.com/ralfbiedert/ffsvm-rust,,MIT,2017-12-10 16:52:20,2019-12-20 23:08:07,2019-06-07 10:54:07,6.0,2.0,6.0,47.0,318.0,,,,,,FFSVM stands for Really Fast Support Vector Machine.,,10,False,3,,,,,
99,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,,2019-03-19 18:18:31,2021-12-12 19:51:09,2021-12-12 09:48:55,5.0,4.0,37.0,45.0,,2021-12-12 19:26:30,0.17.2,,,10.0,finalfusion embeddings in Rust.,5.0,10,False,2,,,,-2.0,
