,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-03-29 11:40:49,2021-03-29 09:34:36,450.0,1157.0,2120.0,6776.0,4209.0,2021-03-12 22:36:27,0.12.1,32539.0,1626.0,18.0,"A high-performance, high-reliability observability data pipeline.",123.0,23,True,1.0,,,
1,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-03-18 22:14:09,2021-03-18 18:39:52,325.0,87.0,318.0,4376.0,1446.0,2021-02-04 15:38:39,python-v0.10.1,,,39.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,21,True,1.0,25.0,25.0,
2,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-03-29 08:20:45,2021-03-29 04:06:15,1804.0,133.0,1640.0,6462.0,,2020-10-02 18:30:42,0.7.0,508.0,12.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",519.0,19,True,1.0,,,
3,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,229.0,68.0,95.0,2558.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,True,1.0,2.0,2.0,
4,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-03-01 07:35:57,2021-02-18 04:15:09,236.0,28.0,101.0,2988.0,629.0,,,,,,Rust language bindings for TensorFlow.,37.0,16,True,1.0,,,
5,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-03-27 01:42:41,2021-03-11 06:25:13,137.0,65.0,184.0,2225.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,16,True,1.0,,,
6,polars,ritchie46/polars,data-loading,https://github.com/ritchie46/polars,https://github.com/ritchie46/polars,MIT,2020-05-13 19:45:33,2021-03-29 06:56:11,2021-03-29 06:51:23,57.0,29.0,219.0,1304.0,1319.0,,,,,,Rust DataFrame library.,22.0,16,True,2.0,,,
7,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-03-29 08:35:17,2021-03-26 20:09:25,265.0,116.0,259.0,4941.0,1737.0,,,,,,Rayon: A data parallelism library for Rust.,114.0,15,False,2.0,,,
8,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-03-29 08:42:48,2021-03-29 08:27:09,96.0,21.0,45.0,905.0,,2021-03-29 08:42:48,0.13.1,1799.0,257.0,15.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",22.0,15,False,1.0,,,
9,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-03-28 05:05:06,2021-03-27 00:04:09,26.0,11.0,25.0,442.0,,2021-03-23 23:36:21,0.0.9,,,3.0,High-performance automatic differentiation of LLVM.,1256.0,15,False,1.0,,,
