,name,github_id,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
161,deepfrog,proycon/deepfrog,nlp,{},2.0,2.0,,0,False,,,,
162,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,{},,,12.0,0,False,,,,
163,rust-autograd,raskr/rust-autograd,ml-frameworks,{},,,16.0,0,False,,,,
164,autograph,charles-r-earp/autograph,ml-frameworks,{},2.0,2.0,4.0,0,False,,,,
165,leaf,autumnai/leaf,ml-frameworks,{},,,15.0,0,False,,,,
166,fann-rs,afck/fann-rs,ml-frameworks,{},6.0,6.0,2.0,0,False,,,,
167,cntk-rs,usamec/cntk-rs,ml-frameworks,{},,,,0,False,,,,
168,revonet,yurytsoy/revonet,ml-frameworks,{},1.0,1.0,,0,False,,,,
169,hal,jramapuram/hal,ml-frameworks,{},,,3.0,0,False,,,,
170,drug,CasperN/drug,ml-frameworks,{},,,,0,False,,,,
171,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,{},,,19.0,0,False,,,,
172,torchrs,torchrs/torchrs,ml-frameworks,{},,,5.0,0,False,,['binding'],,
173,orkhon,vertexclique/orkhon,ml-frameworks,{},,,,0,False,,,,
174,blingfire-rs,reinfer/blingfire-rs,nlp,{},,,3.0,0,False,,,,
175,L2,bilal2vec/L2,ml-frameworks,{},,,,0,False,,,,
176,misspeller,andrew-johnson-4/misspeller,nlp,{},,,,0,False,,,,
177,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,{},,,,0,False,,,,
178,visionmagic,visioncortex/visionmagic,image,{},,,,0,False,,,,
179,image-ssd,mermoldy/image-ssd,image,{},,,,0,False,,,,
180,ballista,ballista-compute/ballista,ml-frameworks,{},,,,0,False,,,,
181,aleph-alpha-tokenizer,Aleph-Alpha/aleph-alpha-tokenizer,nlp,{},,,,0,False,,,,
182,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,{},5.0,5.0,2.0,0,False,,,,
183,dpar,danieldk/dpar,nlp,{},,,3.0,0,False,,,,
184,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,{},,,,0,False,,,,
185,ohnomore,danieldk/ohnomore,nlp,{},,,4.0,0,False,,,,
186,wordpieces,danieldk/wordpieces,nlp,{},9.0,9.0,2.0,0,False,,,,
187,rust-dataframe,nevi-me/rust-dataframe,data-loading,{},,,4.0,0,False,,,,
188,cleora,Synerise/cleora,ml-frameworks,{},,,18.0,0,False,,,,
189,sticker,stickeritis/sticker,nlp,{},,,5.0,0,False,,,,
190,rust-dl-webserver,epwalsh/rust-dl-webserver,ml-frameworks,{},,,3.0,0,False,,,,
191,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,{},,,12.0,0,False,,,,
192,snips-nlu-parsers,snipsco/snips-nlu-parsers,nlp,{},,,6.0,0,False,,,,
193,gazetteer-entity-parser,snipsco/gazetteer-entity-parser,nlp,{},,,8.0,0,False,,,,
194,rustling,snipsco/rustling,nlp,{},,,8.0,0,False,,['binding'],,
195,word2vec-rs,mklf/word2vec-rs,nlp,{},,,4.0,0,False,,,,
196,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,{},,,19.0,0,False,,,,
197,hwt,rust-cv/hwt,ml-frameworks,{},,,,0,False,,,,
198,liblinear-rs,shademe/liblinear-rs,ml-frameworks,{},,,,0,False,,['binding'],,
199,awabi,nakagami/awabi,nlp,{},3.0,3.0,2.0,0,False,,,,
200,black-jack,milesgranger/black-jack,ml-frameworks,{},,,3.0,0,False,,,,
201,rustdef,emakryo/rustdef,ml-frameworks,{},2.0,2.0,4.0,0,False,,,,
202,NewsAggregator,EngineersBox/NewsAggregator,data-loading,{},,,10.0,0,False,,,,
203,h2o-kubernetes,h2oai/h2o-kubernetes,mlops,{},,,4.0,0,False,,,,
204,tokenizations,explosion/tokenizations,nlp,{},,,4.0,0,False,,,,
205,neuronika,neuronika/neuronika,ml-frameworks,{},5.0,5.0,2.0,0,False,,,,
206,rain,substantic/rain,ml-frameworks,{},,,10.0,0,False,,,,
207,treebender,vgel/treebender,nlp,{},,,,0,False,,,,
208,REnforce,NivenT/REnforce,ml-frameworks,{},,,,0,False,,,,
209,craftml-rs,tomtung/craftml-rs,ml-frameworks,{},,,,0,False,,,,
210,deduplicate-text-datasets,google-research/deduplicate-text-datasets,nlp,{},,,5.0,0,False,,,,
211,rust-hf-hub-loader,philschmid/rust-hf-hub-loader,ml-frameworks,{},,,,0,False,,,,
212,Toshi,toshi-search/Toshi,apps,{},,,20.0,0,False,,,,
213,sudachi.rs,WorksApplications/sudachi.rs,nlp,{},,,20.0,0,False,,,,
214,lnx,lnx-search/lnx,apps,{},,,4.0,0,False,,,,
215,voy,tantaraio/voy,apps,{},,,3.0,0,False,,,,
216,llamacord,rustformers/llamacord,apps,{},,,,0,False,,,,
217,rllama,Noeda/rllama,nlp,{},2.0,2.0,3.0,0,False,,,,
218,chat-ai-desktop,sonnylazuardi/chat-ai-desktop,apps,{},,,6.0,0,False,,,,
219,opentau,GammaTauAI/opentau,apps,{},,,4.0,0,False,,,,
220,ollama-rag-rs,SimonCW/ollama-rag-rs,nlp,{},,,,0,False,,,,
221,aici,microsoft/aici,nlp,{},,,10.0,0,False,,,,
222,unda,unda-ai/unda,ml-frameworks,{},,,,0,False,,,,
223,lsp-ai,SilasMarvin/lsp-ai,apps,{},,,8.0,0,False,,,,
224,nerve,evilsocket/nerve,apps,{},,,13.0,0,False,,,,
225,candle-vllm,EricLBuehler/candle-vllm,mlops,{},,,8.0,0,False,,,,
226,candle-lora,EricLBuehler/candle-lora,ml-frameworks,{},,,3.0,0,False,,,,
227,pgvectorscale,timescale/pgvectorscale,ml-frameworks,{},,,16.0,0,False,,,,True
228,kwaak,bosun-ai/kwaak,apps,{},2.0,2.0,10.0,0,False,,,,True
229,chunkr,lumina-ai-inc/chunkr,nlp,{},,,19.0,0,False,,,,True
230,RustGPT,tekaratzas/RustGPT,nlp,{},,,10.0,0,False,,,,True
231,voicetypr,moinulmoin/voicetypr,ml-frameworks,{},,,3.0,0,False,,,,True
232,cogent,JonathanWoollett-Light/cogent,ml-frameworks,{},,,2.0,-1,False,3.0,,,
233,RustNN,jackm321/RustNN,ml-frameworks,{},,,2.0,-1,False,3.0,,,
234,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,{},,,2.0,-1,False,3.0,,,
235,rustberta-snli,allenai/rustberta-snli,nlp,{},,,2.0,-1,False,3.0,,,
236,mushin,c0dearm/mushin,ml-frameworks,{},,,2.0,-1,False,3.0,,,
237,flaco,milesgranger/flaco,data-loading,{},,,2.0,-1,False,3.0,,,
238,propagon,Refefer/propagon,graph,{},,,2.0,-1,False,3.0,,,
239,zkml,ddkang/zkml,other,{},,,2.0,-1,False,3.0,,,
240,oxidized-transformers,oxidized-transformers/oxidized-transformers,nlp,{},,,2.0,-1,False,3.0,,,
