,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
99,deduplicate-text-datasets,google-research/deduplicate-text-datasets,nlp,https://github.com/google-research/deduplicate-text-datasets,https://github.com/google-research/deduplicate-text-datasets,,Apache-2.0,2021-07-16 00:24:25,2022-06-06 22:29:12,2022-06-06 22:29:08,33.0,3.0,11.0,389.0,49.0,,,,,,,,,3.0,11,False,2,,
100,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,,,2020-04-04 17:46:04,2022-04-17 05:12:04,2022-04-17 05:12:02,32.0,30.0,6.0,370.0,,,,,,,"Rust CV mono-repo. Contains pure-Rust dependencies which attempt to encapsulate the capability of OpenCV, OpenMVG, and..",53.0,53.0,8.0,11,False,3,,
101,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,,MIT,2019-06-22 20:37:19,2022-02-19 15:52:39,2022-02-19 15:52:39,16.0,,1.0,157.0,165.0,2019-09-04 00:34:56,1.0,,,1.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,,,11,True,3,,
102,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,,Apache-2.0,2018-11-05 09:02:15,2022-06-22 01:57:06,2020-06-18 21:00:31,11.0,11.0,7.0,125.0,,,,,,,Simple NLP in Rust with Python bindings.,31.0,31.0,3.0,11,False,2,,
103,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/sonos/rustling-ontology,https://github.com/sonos/rustling-ontology,sonos/rustling-ontology,,2017-04-24 15:08:48,2022-01-02 15:33:15,2020-10-07 11:29:08,47.0,28.0,26.0,121.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,,,19.0,11,False,2,-1.0,
104,rustfst,Garvys/rustfst,nlp,https://github.com/Garvys/rustfst,https://github.com/Garvys/rustfst,,,2018-09-13 21:21:45,2022-08-11 09:20:56,2022-08-09 12:23:04,9.0,14.0,22.0,104.0,,2022-06-21 15:27:58,rustfst-v0.11.5,,,17.0,"Rust re-implementation of OpenFST - library for constructing, combining, optimizing, and searching weighted finite-..",13.0,13.0,10.0,11,False,2,,
105,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,,,2017-02-06 15:57:08,2022-07-03 08:24:42,2022-07-03 08:23:14,9.0,3.0,,93.0,245.0,,,,,,A deep learning library for rust.,25.0,25.0,,11,False,3,,
106,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,7.0,2.0,1.0,69.0,194.0,,,,,,Awesome deep learning crate.,11.0,11.0,2.0,11,False,3,,
107,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,27.0,4.0,6.0,57.0,505.0,2019-09-06 13:58:41,0.67.2,,,35.0,Ontology of Snips NLU.,,,12.0,11,False,2,,
108,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,,2015-06-23 13:59:00,2022-06-15 06:08:17,2022-06-15 06:08:14,7.0,2.0,3.0,52.0,333.0,2015-10-07 20:05:27,0.0.5,,,4.0,Machine learning in Rust.,8.0,8.0,2.0,11,False,3,,
109,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,,MPL-2.0,2017-03-05 09:40:12,2022-07-18 17:28:58,2022-07-18 17:28:50,8.0,1.0,4.0,50.0,37.0,,,,,,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",3.0,3.0,4.0,11,False,3,,
110,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,,Apache-2.0,2020-04-19 14:27:46,2022-07-21 14:04:58,2022-03-21 14:34:12,6.0,,1.0,39.0,63.0,,,,,,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,4.0,4.0,4.0,11,False,2,,
111,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,,GPL-3.0,2018-08-18 14:31:48,2022-08-16 04:15:16,2021-04-29 19:39:04,5.0,8.0,42.0,31.0,217.0,2019-04-28 11:10:27,0.1.0,,,2.0,DataFrame / Series data processing in Rust.,,,2.0,11,False,3,,
112,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,2.0,,21.0,63.0,,,,,,Rust interface to word2vec.,10.0,10.0,5.0,11,False,2,,
